first_name,last_name,company_name,email,phone,website,address,city,rating,reviews,business_type,mv_quality,mv_result,place_id,shared_email_count,source,tags
AT&T,Stadium,AT&T Stadium,info@attstadium.com,(817) 892-4000,https://attstadium.com/,"1 AT&T Way, Arlington, TX 76011",Arlington,4.7,45611,Stadium,risky,catch_all,ChIJJ0eIyIZ9ToYR-J1qjOhgHm0,1,smartlead-launch-risky-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-risky,smartlead-launch-risky-2026-04-20"
Houston,Museum of Natural Science,Houston Museum of Natural Science,info@hmns.org,(713) 639-4629,https://www.hmns.org/,"5555 Hermann Park Dr, Houston, TX 77030",Houston,4.8,30156,Science museum,risky,catch_all,ChIJqzEuToa_QIYRetkd7kIw47s,1,smartlead-launch-risky-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-risky,smartlead-launch-risky-2026-04-20"
Aga's,Restaurant & Catering,Aga's Restaurant & Catering,info@agasrestaurant.com,(832) 786-8000,https://www.agasrestaurant.com/,"11842 Wilcrest Dr, Houston, TX 77031",Houston,4.8,22075,Indian restaurant,risky,catch_all,ChIJZ3_xEVfnQIYRwa4iI6gA1Q8,1,smartlead-launch-risky-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-risky,smartlead-launch-risky-2026-04-20"
Crepeccino,Café & Crêperie,Crepeccino Café & Crêperie,info@crepeccino.com,(210) 600-3362,http://crepeccino.com/,"5500 Babcock Rd #104, San Antonio, TX 78240",San Antonio,4.9,20901,Restaurant,risky,catch_all,ChIJcbCRWTxnXIYRkd_fIf2ScfA,1,smartlead-launch-risky-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-risky,smartlead-launch-risky-2026-04-20"
Radiant,"Plumbing, Air Conditioning, & Electrical","Radiant Plumbing, Air Conditioning, & Electrical",hello-austin@radiantplumbing.com,(512) 690-4935,https://radiantplumbing.com/austin/?utm_source=google&utm_medium=businesslisting&utm_campaign=atx-brand_gmb_1023&utm_content=atx-brand,"901 Reinli St, Austin, TX 78751",Austin,4.8,16525,Plumber,risky,catch_all,ChIJgaWi-H21RIYRSO43JeIAhSY,2,smartlead-launch-risky-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-risky,smartlead-launch-risky-2026-04-20,shared-email-review"
The,Escape Game Houston (CityCentre),The Escape Game Houston (CityCentre),hello@theescapegame.com,(713) 999-1496,https://theescapegame.com/houston/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_id=hou-citycentre,"794 Sorella Ct #127, Houston, TX 77024",Houston,5,12316,Escape room center,risky,catch_all,ChIJOzcF1LLEQIYRpkmtlUxhumI,4,smartlead-launch-risky-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-risky,smartlead-launch-risky-2026-04-20,shared-email-review"
Breakout,Games,Breakout Games,info@breakoutgames.com,(972) 474-0111,https://www.breakoutgames.com/dallas?utm_source=google&utm_medium=organic&utm_campaign=gmb-dallas-plano,"2301 N Central Expy # 285, Plano, TX 75075",Plano,5,12210,Escape room center,risky,catch_all,ChIJj9MaVf4YTIYRuQBEXH_eu4M,1,smartlead-launch-risky-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-risky,smartlead-launch-risky-2026-04-20"
The,"Museum of Fine Arts, Houston","The Museum of Fine Arts, Houston",info@mfah.org,(713) 639-7300,https://www.mfah.org/,"1001 Bissonnet St, Houston, TX 77005",Houston,4.8,11830,Art museum,risky,catch_all,ChIJSx6QT3-_QIYRPaWcHKc3bbI,3,smartlead-launch-risky-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-risky,smartlead-launch-risky-2026-04-20,shared-email-review"
Aquarium,Restaurant,Aquarium Restaurant,aquariumhouston@ldry.com,(713) 315-5126,https://www.downtownaquariumhouston.com/aquarium-restaurant,"410 Bagby St, Houston, TX 77002",Houston,4.7,10570,Seafood restaurant,risky,catch_all,ChIJ1_fBKTG_QIYRWdRY0QE5LH0,1,smartlead-launch-risky-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-risky,smartlead-launch-risky-2026-04-20"
1-800-GOT-JUNK?,Houston West,1-800-GOT-JUNK? Houston West,info@1800gotjunk.com,(346) 509-4683,https://www.1800gotjunk.com/us_en/locations/junk-removal-houston/us03051?utm_source=googleplus&utm_medium=maps&utm_campaign=houstonwest,,,5,10020,Junk removal service,risky,catch_all,ChIJzQHmrjjbQIYRCM65D-iCZQM,5,smartlead-launch-risky-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-risky,smartlead-launch-risky-2026-04-20,shared-email-review"
