first_name,last_name,company_name,email,phone,website,address,city,rating,reviews,business_type,mv_quality,mv_result,place_id,shared_email_count,source,tags
Nebraska,Furniture Mart,Nebraska Furniture Mart,info@nfm.com,(800) 336-9136,https://www.nfm.com/,"5600 Nebraska Furniture Mart Dr, The Colony, TX 75056",The Colony,4.6,58361,Furniture store,good,ok,ChIJQ0ImqDM7TIYRCo7oPxfbWZo,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
The,Big Texan Steak Ranch & Brewery,The Big Texan Steak Ranch & Brewery,info@bigtexan.com,(806) 372-6000,https://bigtexan.com/,"7701 I-40, Amarillo, TX 79118",Amarillo,4.4,33491,Steak house,good,ok,ChIJ3RIOIl9IAYcRFJiNleyaBUc,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Mr.Crabby's,Cajun Seafood & Bar,Mr.Crabby's Cajun Seafood & Bar,mrcrabbysnorthwoodss@gmail.com,(210) 462-1122,http://liveoak.mrcrabbysseafood.com/,"14601 I-35, Live Oak, TX 78233",Live Oak,4.9,25619,Seafood restaurant,good,ok,ChIJmWcj_veNXIYRDgDNwR0UT0A,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Mi,Tierra Cafe y Panaderia,Mi Tierra Cafe y Panaderia,info@mitierracafe.com,(210) 225-1262,https://mitierracafe.com/,"218 Produce Row, San Antonio, TX 78207",San Antonio,4.4,24575,Mexican restaurant,good,ok,ChIJu4MuskxfXIYRDqpQCRaNVXc,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Discovery,Green,Discovery Green,info@discoverygreen.com,(713) 400-7336,http://www.discoverygreen.com/,"1500 McKinney St, Houston, TX 77010",Houston,4.7,21942,Park,good,ok,ChIJJUo2UyK_QIYRI_nLX1af7Qg,2,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
John,Moore Services,John Moore Services,service@johnmooreservices.com,(713) 853-9881,https://www.johnmooreservices.com/?utm_source=Google&utm_medium=GBP&utm_campaign=Organic_GBP_John_Moore,"10005 W Sam Houston Pkwy N, Houston, TX 77064",Houston,4.7,19162,Plumber,good,ok,ChIJlQQ8uCjOQIYR81rd2QiQkZU,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Kitchen,+ Kocktails,Kitchen + Kocktails,info@kitchenkocktailsusa.com,(469) 472-5445,https://kitchenkocktailsusa.com/,"1933 Elm St, Dallas, TX 75201",Dallas,4.7,19050,Southern restaurant (US),good,ok,ChIJE-rQvPWZToYRe0HhJuoEHNo,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Milestone,"Electric, A/C, & Plumbing","Milestone Electric, A/C, & Plumbing",info@callmilestone.com,(214) 717-6708,https://callmilestone.com/dallas/plumbing/,"5414 Forest Ln, Dallas, TX 75229",Dallas,4.9,19008,Plumber,good,ok,ChIJac42-6UdTIYR-syswXc9TR4,7,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Hutchins,BBQ,Hutchins BBQ,dustin@ckk.dev,(972) 548-2629,https://hutchinsbbq.com/,"1301 N Tennessee St, McKinney, TX 75069",McKinney,4.8,18737,Barbecue restaurant,good,ok,ChIJYydEW1ESTIYRjkw_042WPeg,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
The,Spot,The Spot,ashley@islandfamous.com,(409) 621-5237,https://www.thespotrestaurants.com/locations-menus/thespot/,"3204 Seawall Blvd, Galveston, TX 77550",Galveston,4.3,18012,Seafood restaurant,good,ok,ChIJ34YwTIieP4YRInR2ZaTx2so,2,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Corner,Restaurant,Corner Restaurant,forms@tambourine.com,(512) 608-4488,https://www.cornerrestaurantaustin.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing,"110 E 2nd St, Austin, TX 78701",Austin,4.8,17617,Restaurant,good,ok,ChIJxcCceAi1RIYR9AqXT8eWDyc,19,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Chama,Gaúcha Brazilian Steakhouse - San Antonio,Chama Gaúcha Brazilian Steakhouse - San Antonio,info@chamagaucha.com,(210) 564-9400,https://www.chamagaucha.com/sanantonio,"18318 Sonterra Pl, San Antonio, TX 78258",San Antonio,4.9,14867,Brazilian restaurant,good,ok,ChIJJejjdR1iXIYR-9OCMFWKP6I,2,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
A#1,Air,A#1 Air,info@anumber1air.com,(972) 460-0001,https://anumber1air.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*319*a1-air-lewisville,"601 E Corporate Dr, Lewisville, TX 75057",Lewisville,4.7,12789,Plumber,good,ok,ChIJAQAAADyfToYRechmxizO2-g,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Joe,T. Garcia's,Joe T. Garcia's,heather@joetgarcias.com,(817) 626-4356,http://www.joetgarcias.com/,"2201 N Commerce St, Fort Worth, TX 76164",Fort Worth,4.2,12708,Tex-Mex restaurant,good,ok,ChIJ52v5bJ12ToYRFEgw3xlRPr0,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Bulla,Gastrobar Plano,Bulla Gastrobar Plano,bplano@bullagastrobar.com,(972) 805-4590,https://bullagastrobar.com/locations/plano,"6007 Legacy Dr #180, Plano, TX 75024",Plano,4.9,12648,Spanish restaurant,good,ok,ChIJp-utjq48TIYRj5IRd9r8qlw,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Apple,Towing Co. (Houston),Apple Towing Co. (Houston),info@appletowing.com,(713) 383-6200,http://www.appletowing.com/,"2030 Holmes Rd, Houston, TX 77045",Houston,4.9,11800,Towing service,good,ok,ChIJ8RyNQK7qQIYR89zn0oPp8uU,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Abacus,"Plumbing, Air Conditioning, & Electrical","Abacus Plumbing, Air Conditioning, & Electrical",customerservice@abacusplumbing.net,(713) 812-7070,https://www.abacusplumbing.net/?utm_campaign=gmb_ab-hou_home_everyone_gmb-houston&utm_medium=gmb&utm_source=google,"4001 Kendrick Plaza Dr, Houston, TX 77032",Houston,4.7,11747,Plumber,good,ok,ChIJY6k1S9XFQIYROFxe1EhMiN4,3,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Rj,Mexican Cuisine,Rj Mexican Cuisine,rjeventsdallas@gmail.com,(214) 744-1420,https://www.rjmexicancuisine.com/,"1701 N Market St #102, Dallas, TX 75202",Dallas,4.8,11231,Mexican restaurant,good,ok,ChIJLdzo9T2ZToYRt2Nnta1x7fM,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Home,Slice Pizza,Home Slice Pizza,info@homeslicepizza.com,(512) 444-7437,https://homeslicepizza.com/location/south-congress/,"1415 S Congress Ave, Austin, TX 78704",Austin,4.7,10790,Pizza restaurant,good,ok,ChIJu96UVvy0RIYRCPxWa4TSr6o,4,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
JOEY,Uptown,JOEY Uptown,accessibility@joeyrestaurants.com,(346) 646-5639,https://joeyrestaurants.com/location/joey-uptown,"5045 Westheimer Rd Suite X01, Houston, TX 77056",Houston,4.8,10760,Restaurant,good,ok,ChIJ48I5hnvBQIYRNdjz219pjUI,2,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Mozart's,Coffee Roasters,Mozart's Coffee Roasters,customerservice@mozartscoffee.com,(512) 477-2900,https://mozartscoffee.com/,"3825 Lake Austin Blvd, Austin, TX 78703",Austin,4.5,10447,Coffee shop,good,ok,ChIJTWZhRFW1RIYRrdGa7DPzT7w,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Kindred,Pest Control,Kindred Pest Control,%20office@kindredpest.com,(979) 436-8023,https://kindredpest.com/,"2501 Central Pkwy c1, Houston, TX 77092",Houston,4.8,10417,Pest control service,good,ok,ChIJkfqOrFabRoYRuG61OmvrHao,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Goettl,Air Conditioning and Plumbing - San Antonio TX,Goettl Air Conditioning and Plumbing - San Antonio TX,contactus@goettl.com,(210) 460-3966,https://www.goettl.com/location/san-antonio-texas/?utm_source=Google&utm_medium=GMB&utm_campaign=SAT.GMB_Google_Business_Profile,"7847 Fortune Dr, San Antonio, TX 78250",San Antonio,4.8,10398,Plumber,good,ok,ChIJv5kztYJnXIYRIzC9hji2uEk,2,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Hyatt,Regency Dallas,Hyatt Regency Dallas,info@hyatt.com,(214) 651-1234,https://www.hyatt.com/hyatt-regency/en-US/dfwrd-hyatt-regency-dallas?src=corp_lclb_google_seo_dfwrd&utm_source=google&utm_medium=organic&utm_campaign=lmr,"300 Reunion Blvd, Dallas, TX 75207",Dallas,4.5,10121,Hotel,good,ok,ChIJ40wS9hOZToYRjJyhgvj-jZ8,9,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
One,Hour Air Conditioning & Heating® of Houston,One Hour Air Conditioning & Heating® of Houston,fhunt@authoritybrandsllc.com,(281) 407-9754,https://www.onehourheatandair.com/houston/?utm_source=organic&utm_medium=GBP&utm_campaign=gbp_main,"4455 W Sam Houston Pkwy N, Houston, TX 77041",Houston,4.8,10116,HVAC contractor,good,ok,ChIJg6KxS3LQQIYRojXRYlc39pM,2,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
The,Breakfast Klub,The Breakfast Klub,katering@thebreakfastklub.com,(713) 528-8561,http://www.thebreakfastklub.com/,"3711 Travis St, Houston, TX 77002",Houston,4.7,9920,Breakfast restaurant,good,ok,ChIJ_0MiMm6_QIYRr7XETdEk5ZE,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Hilton,Anatole,Hilton Anatole,info@hilton.com,(214) 748-1200,https://www.hilton.com/en/hotels/dfwanhh-hilton-anatole/?SEO_id=GMB-AMER-HH-DFWANHH&y_source=1_MTIyMDgzNy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"2201 N Stemmons Fwy, Dallas, TX 75207",Dallas,4.3,9919,Hotel,good,ok,ChIJWwFFk1KZToYR4vcCc_ObGoQ,25,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Village,"Plumbing, Air & Electric","Village Plumbing, Air & Electric",service@villageplumbing.com,(281) 607-5357,https://villageplumbing.com/?utm_source=google&utm_medium=gmb&utm_campaign=Google%20Business%20Profile,"10644 W Little York Rd Suite 200, Houston, TX 77041",Houston,4.8,9685,Plumber,good,ok,ChIJIc-2aF_AQIYRJab07qEMW4A,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
MILANO,NAIL SPA AUSTIN | Best Nail Salon in Austin Texas,MILANO NAIL SPA AUSTIN | Best Nail Salon in Austin Texas,milanonailspaatx@gmail.com,(512) 900-0206,https://milanonailspaatx.com/,"2755 E 7th St, Austin, TX 78702",Austin,4.9,9252,Nail salon,good,ok,ChIJY5A5XcC1RIYRZakP3mODjRk,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Fogo,de Chão Brazilian Steakhouse,Fogo de Chão Brazilian Steakhouse,info@fogodechao.com,(512) 472-0220,https://fogodechao.com/location/austin/,"200 Congress Ave., Austin, TX 78701",Austin,4.7,9182,Brazilian restaurant,good,ok,ChIJ7_1MCai1RIYRsFrrp7OT0zI,3,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Magnolia,Table,Magnolia Table,help@magnolia.com,(254) 265-6859,https://magnolia.com/visit/eat/magnolia-table/,"2132 S Valley Mills Dr, Waco, TX 76706",Waco,4.5,8747,American restaurant,good,ok,ChIJZXt4pCuCT4YR-vgPxnLngtA,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Pecan,Lodge,Pecan Lodge,catering@pecanlodge.com,(214) 748-8900,http://www.pecanlodge.com/,"2702 Main St, Dallas, TX 75226",Dallas,4.5,8494,Barbecue restaurant,good,ok,ChIJGXYxd92YToYR7yV_BSMQ2Xk,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Rodeo,Goat,Rodeo Goat,info@rodeogoat.com,(214) 741-4628,http://rodeogoat.com/dallas/,"1926 Market Center Blvd, Dallas, TX 75207",Dallas,4.6,8400,Hamburger restaurant,good,ok,ChIJ3aaOA06ZToYR8NFgiHe0pT4,4,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Royal,Air Houston,Royal Air Houston,info@royalairhouston.com,(832) 334-5959,https://www.royalairhouston.com/,"12519 FM 529, Houston, TX 77041",Houston,4.6,8334,HVAC contractor,good,ok,ChIJJc3DhSXRQIYRoOuqUEW_gaE,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Berrett,Home Services,Berrett Home Services,info@berretthomeservices.com,+1 214-242-4800,https://berretthomeservices.com/garland-texas/,"708 Easy St, Garland, TX 75042, United States",Garland,4.9,8312,Pest control service,good,ok,ChIJTzzDaiAfTIYRj6savsc7QIQ,6,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
San,Antonio Botanical Garden,San Antonio Botanical Garden,info@sabgtx.org,(210) 536-1400,https://sabgtx.org/,"555 Funston Pl, San Antonio, TX 78209",San Antonio,4.7,8212,Wedding venue,good,ok,ChIJZeWSYrz1XIYR7_h51WlHYSQ,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
The,Woolworth,The Woolworth,info@thewoolworthdallas.com,(214) 814-0588,https://www.thewoolworthdallas.com/,"1520 Elm St #201, Dallas, TX 75201",Dallas,4.8,8174,Restaurant,good,ok,ChIJbU01oxiZToYR7SbEzKcmmrw,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Cyclone,Anaya's Tex-Mex Kitchen,Cyclone Anaya's Tex-Mex Kitchen,info@cycloneanaya.com,(713) 461-1300,https://www.cycloneanaya.com/,"800 Town and Country Blvd, Houston, TX 77024",Houston,4.7,8160,Mexican restaurant,good,ok,ChIJjWAVFrPEQIYRfsD4n6WmsBE,3,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
