email,first_name,last_name,company_name,phone_number,website,location,address,rating,reviews,business_type,mv_quality,mv_result,source,place_id,shared_email_count
info@attstadium.com,AT&T,Stadium,AT&T Stadium,(817) 892-4000,https://attstadium.com/,Arlington,"1 AT&T Way, Arlington, TX 76011",4.7,45611,Stadium,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJJ0eIyIZ9ToYR-J1qjOhgHm0,1
info@hmns.org,Houston,Museum of Natural Science,Houston Museum of Natural Science,(713) 639-4629,https://www.hmns.org/,Houston,"5555 Hermann Park Dr, Houston, TX 77030",4.8,30156,Science museum,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJqzEuToa_QIYRetkd7kIw47s,1
info@agasrestaurant.com,Aga's,Restaurant & Catering,Aga's Restaurant & Catering,(832) 786-8000,https://www.agasrestaurant.com/,Houston,"11842 Wilcrest Dr, Houston, TX 77031",4.8,22075,Indian restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJZ3_xEVfnQIYRwa4iI6gA1Q8,1
info@crepeccino.com,Crepeccino,Café & Crêperie,Crepeccino Café & Crêperie,(210) 600-3362,http://crepeccino.com/,San Antonio,"5500 Babcock Rd #104, San Antonio, TX 78240",4.9,20901,Restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJcbCRWTxnXIYRkd_fIf2ScfA,1
hello-austin@radiantplumbing.com,Radiant,"Plumbing, Air Conditioning, & Electrical","Radiant Plumbing, Air Conditioning, & Electrical",(512) 690-4935,https://radiantplumbing.com/austin/?utm_source=google&utm_medium=businesslisting&utm_campaign=atx-brand_gmb_1023&utm_content=atx-brand,Austin,"901 Reinli St, Austin, TX 78751",4.8,16525,Plumber,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJgaWi-H21RIYRSO43JeIAhSY,2
hello@theescapegame.com,The,Escape Game Houston (CityCentre),The Escape Game Houston (CityCentre),(713) 999-1496,https://theescapegame.com/houston/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_id=hou-citycentre,Houston,"794 Sorella Ct #127, Houston, TX 77024",5,12316,Escape room center,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJOzcF1LLEQIYRpkmtlUxhumI,4
info@breakoutgames.com,Breakout,Games,Breakout Games,(972) 474-0111,https://www.breakoutgames.com/dallas?utm_source=google&utm_medium=organic&utm_campaign=gmb-dallas-plano,Plano,"2301 N Central Expy # 285, Plano, TX 75075",5,12210,Escape room center,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJj9MaVf4YTIYRuQBEXH_eu4M,1
info@mfah.org,The,"Museum of Fine Arts, Houston","The Museum of Fine Arts, Houston",(713) 639-7300,https://www.mfah.org/,Houston,"1001 Bissonnet St, Houston, TX 77005",4.8,11830,Art museum,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJSx6QT3-_QIYRPaWcHKc3bbI,3
aquariumhouston@ldry.com,Aquarium,Restaurant,Aquarium Restaurant,(713) 315-5126,https://www.downtownaquariumhouston.com/aquarium-restaurant,Houston,"410 Bagby St, Houston, TX 77002",4.7,10570,Seafood restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJ1_fBKTG_QIYRWdRY0QE5LH0,1
info@1800gotjunk.com,1-800-GOT-JUNK?,Houston West,1-800-GOT-JUNK? Houston West,(346) 509-4683,https://www.1800gotjunk.com/us_en/locations/junk-removal-houston/us03051?utm_source=googleplus&utm_medium=maps&utm_campaign=houstonwest,,,5,10020,Junk removal service,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJzQHmrjjbQIYRCM65D-iCZQM,5
info@aptivepestcontrol.com,Aptive,Pest Control,Aptive Pest Control,(281) 609-6832,https://aptivepestcontrol.com/locations/texas-tx/houston-pest-control/local-branch/?utm_source=google&utm_medium=LocalListings&utm_campaign=Local+Listings+128+Houston,Houston,"8800 Jameel Rd #100B, Houston, TX 77040",4.6,9975,Pest control service,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJa7448n3FQIYRNuC2jHJgiL0,3
info@rebrand.ly,Taquitos,West Avenue,Taquitos West Avenue,(210) 525-9888,https://rebrand.ly/taquitos-panaderia,San Antonio,"2818 West Ave, San Antonio, TX 78201",4.6,9961,Mexican restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJuUoEfrNfXIYR51l-QIqUFgA,5
info@omnihotels.com,Omni,Dallas Hotel,Omni Dallas Hotel,(214) 744-6664,https://www.omnihotels.com/hotels/dallas?utm_source=gmblisting&utm_medium=organic,Dallas,"555 S Lamar St, Dallas, TX 75202",4.5,9859,Hotel,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJpd-cqxCZToYR5_W8NBXdULQ,12
info@brasaousa.com,Brasão,Brazilian Steakhouse,Brasão Brazilian Steakhouse,(210) 233-6868,https://www.brasaousa.com/san-antonio,San Antonio,"19210 I-10, San Antonio, TX 78257",4.9,9853,Steak house,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJ9Z3wSN5lXIYRMFqUs9eHO0E,1
info@microcenter.com,Micro,Center,Micro Center,,https://www.microcenter.com/site/stores/houston.aspx?storeid=155,Houston,"5305 S Rice Ave, Houston, TX 77081",4.5,9568,Computer repair service,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJ4-kEdT_BQIYR14UzRlEUKC0,2
info@biglouspizza-satx.com,Big,Lou's Pizza,Big Lou's Pizza,(210) 337-0707,http://biglouspizza-satx.com/,San Antonio,"2048 S WW White Rd, San Antonio, TX 78222",4.4,8944,Pizza restaurant,risky,unknown,mv-verified-houston-risky-2026-04-20,ChIJ7WZoudH2XIYRJsRGfzftGgo,1
info@willfixit.com,Will,Fix It,Will Fix It,(210) 866-8048,https://www.willfixit.com/locations?utm_source=google&utm_medium=gbp&utm_campaign=local_seo&utm_content=gbp_website_click,San Antonio,"3535 Metro Pkwy, San Antonio, TX 78247",4.6,8897,Plumber,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJIQft8vRnXIYRyhYFvjAi9eU,2
