name,phone,website,address,city,rating,reviews,type,place_id,email_guess,mv_quality,mv_result
Mr.Crabby's Cajun Seafood & Bar,(210) 462-1122,http://liveoak.mrcrabbysseafood.com/,"14601 I-35, Live Oak, TX 78233",Live Oak,4.9,25619,Seafood restaurant,ChIJmWcj_veNXIYRDgDNwR0UT0A,mrcrabbysnorthwoodss@gmail.com,good,ok
John Moore Services,(713) 853-9881,https://www.johnmooreservices.com/?utm_source=Google&utm_medium=GBP&utm_campaign=Organic_GBP_John_Moore,"10005 W Sam Houston Pkwy N, Houston, TX 77064",Houston,4.7,19162,Plumber,ChIJlQQ8uCjOQIYR81rd2QiQkZU,service@johnmooreservices.com,good,ok
The Spot,(409) 621-5237,https://www.thespotrestaurants.com/locations-menus/thespot/,"3204 Seawall Blvd, Galveston, TX 77550",Galveston,4.3,18012,Seafood restaurant,ChIJ34YwTIieP4YRInR2ZaTx2so,ashley@islandfamous.com,good,ok
Zerorez,(214) 372-5326,https://www.zerorez.com/dallas?utm_source=gbp&utm_medium=organic&utm_campaign=Irving,"3700 Conflans Rd, Irving, TX 75061",Irving,4.8,16626,Carpet cleaning service,ChIJnTu8LDsmTIYRgAuIt92rBPQ,asheville-email@zerorez.com,bad,invalid
"Radiant Plumbing, Air Conditioning, & Electrical",(512) 690-4935,https://radiantplumbing.com/austin/?utm_source=google&utm_medium=businesslisting&utm_campaign=atx-brand_gmb_1023&utm_content=atx-brand,"901 Reinli St, Austin, TX 78751",Austin,4.8,16525,Plumber,ChIJgaWi-H21RIYRSO43JeIAhSY,hello-austin@radiantplumbing.com,risky,catch_all
Joe T. Garcia's,(817) 626-4356,http://www.joetgarcias.com/,"2201 N Commerce St, Fort Worth, TX 76164",Fort Worth,4.2,12708,Tex-Mex restaurant,ChIJ52v5bJ12ToYRFEgw3xlRPr0,heather@joetgarcias.com,good,ok
Bulla Gastrobar Plano,(972) 805-4590,https://bullagastrobar.com/locations/plano,"6007 Legacy Dr #180, Plano, TX 75024",Plano,4.9,12648,Spanish restaurant,ChIJp-utjq48TIYRj5IRd9r8qlw,bplano@bullagastrobar.com,good,ok
The Escape Game Houston (CityCentre),(713) 999-1496,https://theescapegame.com/houston/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_id=hou-citycentre,"794 Sorella Ct #127, Houston, TX 77024",Houston,5,12316,Escape room center,ChIJOzcF1LLEQIYRpkmtlUxhumI,hello@theescapegame.com,risky,catch_all
"Abacus Plumbing, Air Conditioning, & Electrical",(713) 812-7070,https://www.abacusplumbing.net/?utm_campaign=gmb_ab-hou_home_everyone_gmb-houston&utm_medium=gmb&utm_source=google,"4001 Kendrick Plaza Dr, Houston, TX 77032",Houston,4.7,11747,Plumber,ChIJY6k1S9XFQIYROFxe1EhMiN4,customerservice@abacusplumbing.net,good,ok
Rj Mexican Cuisine,(214) 744-1420,https://www.rjmexicancuisine.com/,"1701 N Market St #102, Dallas, TX 75202",Dallas,4.8,11231,Mexican restaurant,ChIJLdzo9T2ZToYRt2Nnta1x7fM,rjeventsdallas@gmail.com,good,ok
JOEY Uptown,(346) 646-5639,https://joeyrestaurants.com/location/joey-uptown,"5045 Westheimer Rd Suite X01, Houston, TX 77056",Houston,4.8,10760,Restaurant,ChIJ48I5hnvBQIYRNdjz219pjUI,accessibility@joeyrestaurants.com,good,ok
Namak Indian Cuisine,(972) 982-2006,https://www.namakdallas.com/,"1700 Pacific Ave c101, Dallas, TX 75201",Dallas,4.8,10582,Indian restaurant,ChIJZRFwUVKZToYRc5JlEP0VxrA,namakind+antlernest1@tryantler.com,bad,invalid
Aquarium Restaurant,(713) 315-5126,https://www.downtownaquariumhouston.com/aquarium-restaurant,"410 Bagby St, Houston, TX 77002",Houston,4.7,10570,Seafood restaurant,ChIJ1_fBKTG_QIYRWdRY0QE5LH0,aquariumhouston@ldry.com,risky,catch_all
Mozart's Coffee Roasters,(512) 477-2900,https://mozartscoffee.com/,"3825 Lake Austin Blvd, Austin, TX 78703",Austin,4.5,10447,Coffee shop,ChIJTWZhRFW1RIYRrdGa7DPzT7w,customerservice@mozartscoffee.com,good,ok
